,Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn,Tenure_year,Years_x_Num_Sites,Log_Total_Purchase
10,Paula Harris,30.0,11575.37,1,5.22,8.0,2016-11-13 13:13:01,Unit 8120 Box 9160 DPO AA 43432,"Briggs, Lamb and Mathews",1,Mid,41.76,9.356721230481934
11,Bruce Phillips,45.0,8771.02,1,6.64,11.0,2015-05-28 12:14:03,Unit 1895 Box 0949 DPO AA 40249,Figueroa-Maynard,1,Old,73.03999999999999,9.079322389516939
12,Craig Garner,45.0,8988.67,1,4.84,11.0,2011-02-16 08:10:47,"897 Kelley Overpass Suite 349 West Rebekahport, AZ 44793",Abbott-Thompson,1,Mid,53.239999999999995,9.103831419339206
13,Nicole Olson,40.0,8283.32,1,5.1,13.0,2012-11-22 05:35:03,"11488 Weaver Cape Hernandezberg, WI 63417-8544","Smith, Kim and Marshall",1,Mid,66.3,9.022119850451203
14,Harold Griffin,41.0,6569.87,1,4.3,11.0,2015-03-28 02:13:44,"1774 Peter Row Apt. 712 New Autumn, MT 18782","Snyder, Lee and Morris",1,Mid,47.3,8.790401522803213
15,James Wright,38.0,10494.82,1,6.81,12.0,2015-07-22 08:38:40,"45408 David Path East Kimberlyshire, HI 54903-6698",Sanders-Pierce,1,Old,81.72,9.258732361646574
16,Doris Wilkins,45.0,8213.41,1,7.35,11.0,2006-03-09 06:13:55,"28216 Wright Mount Apt. 356 Alichester, DE 40999-2369","Andrews, Adams and Davis",1,Old,80.85,9.013645208050447
17,Katherine Carpenter,43.0,11226.88,0,8.08,12.0,2006-10-22 04:42:38,Unit 4948 Box 4814 DPO AP 42669,"Morgan, Phillips and Harrell",1,Old,96.96000000000001,9.326155249857864
18,Lindsay Martin,53.0,5515.09,0,6.85,8.0,2015-07-10 00:27:10,"69203 Crosby Divide Apt. 878 Parkerview, CO 87064",Villanueva LLC,1,Old,54.8,8.615424554951224
19,Kathy Curry,46.0,8046.4,1,5.69,8.0,2014-06-11 23:47:14,"9569 Caldwell Crescent Tanyaborough, RI 30637","Berry, Orr and Cabrera",1,Mid,45.52,8.993104336876435
20,Dean Miller,41.0,9771.22,0,5.81,11.0,2013-05-30 00:42:13,"803 Kelli Crossing Apt. 169 Jimenezberg, WV 56530-4240",Parks-Bradley,1,Mid,63.91,9.187298945427527
21,Kevin Ramos,56.0,12217.95,1,5.79,11.0,2016-11-17 14:37:01,"5775 Jared Stream Apt. 881 Port Jenniferfort, CO 63506-4063",Olsen LLC,1,Mid,63.69,9.410743304320263
22,Jennifer Wood,35.0,9381.12,1,6.78,11.0,2006-03-27 20:52:42,"1493 Phillips Haven Lake William, FM 00995-2870","Clark, Campbell and Armstrong",1,Old,74.58,9.146561029256404
23,Paul Walker,41.0,10474.94,0,6.4,12.0,2012-02-01 05:08:52,"73006 Patty Avenue Apt. 646 New Sarahburgh, NV 24826",Dalton LLC,1,Old,76.80000000000001,9.256836478234339
24,Lindsey Day,55.0,11158.5,1,4.86,10.0,2007-07-01 01:21:47,"85934 Dakota Mall Timothyville, MI 72421","Thompson, Hansen and Sanchez",1,Mid,48.6,9.32004643206424
25,Steven Hernandez,54.0,8207.1,0,4.26,11.0,2015-05-04 15:57:24,"14609 Perez Turnpike Bradleyberg, DE 99755","Yates, Martinez and Cox",1,Mid,46.86,9.012876750572204
26,Danielle Kirk,35.0,12403.81,0,4.42,11.0,2007-07-31 06:39:54,"20117 Johnson Ports Apt. 914 Jenniferfort, DC 40595",Reeves-Curtis,1,Mid,48.62,9.42583957960393
27,Troy Oliver,40.0,10041.13,0,7.61,11.0,2006-07-30 15:27:23,USCGC Blake FPO AA 66377-6894,Gates Ltd,1,Old,83.71000000000001,9.214544522139217
28,Darlene Evans,44.0,12721.55,0,5.18,11.0,2011-04-25 02:53:25,"950 Christina Viaduct Anastad, IL 03324-2274",Dunlap and Sons,1,Mid,56.98,9.451131288500461
29,Mrs. Sarah Morales,37.0,8284.89,1,5.6,10.0,2009-03-25 06:10:01,"8807 Young Village Joneston, AR 56462","Taylor, Allen and Gardner",1,Mid,56.0,9.022309347144931
30,Laura Pierce,54.0,10661.48,1,5.16,8.0,2011-12-26 22:06:03,"PSC 3912, Box 7208 APO AA 23623",Charles-Branch,1,Mid,41.28,9.274486316065467
31,Carla Ball,45.0,10793.11,1,4.65,10.0,2016-12-28 04:07:38,"754 Shannon Mall South Shawn, AS 29886-0448",Barton Inc,1,Mid,46.5,9.286755893973428
32,Robert Hill,46.0,9322.44,1,2.69,11.0,2010-11-16 13:22:18,"2088 Kelli Way Millertown, MT 37058","Stevens, Harris and Greene",1,New,29.59,9.14028693829191
33,Joseph Harrell,44.0,9814.22,1,5.45,12.0,2010-01-23 07:15:58,USCGC Bell FPO AE 94532,"Fitzgerald, Sherman and Lowe",1,Mid,65.4,9.191689521130778
34,Tammy Shepherd,48.0,11740.0,1,4.97,11.0,2011-06-03 01:34:58,"234 Gonzalez Terrace Santiagohaven, CO 28918-5500",Martin Ltd,1,Mid,54.669999999999995,9.370842268630211
35,Kelly Carroll,37.0,14383.36,0,7.84,10.0,2011-05-04 00:21:51,"8268 Baker Rapid Suite 712 Alexiston, TN 05207-2057","Juarez, Pugh and Vargas",1,Old,78.4,9.573896784206887
36,Heidi Munoz,38.0,11887.39,0,5.83,12.0,2009-10-15 17:14:01,USCGC Mason FPO AA 96632-5067,Mckinney-Rogers,1,Mid,69.96000000000001,9.383317572610546
37,Thomas Sawyer,48.0,10367.08,1,6.45,12.0,2008-06-10 17:15:00,"8113 Rodriguez Court Sheribury, SC 88474","Lopez, Kelly and Armstrong",1,Old,77.4,9.24648713461167
38,Erin Rivera,37.0,8198.06,1,5.04,12.0,2016-06-11 01:13:12,"34727 Randy Prairie Apt. 275 South Pamelashire, AS 63214-4216","Wilkins, White and Martin",1,Mid,60.480000000000004,9.011774792535007
39,Raymond Berry,41.0,7777.37,0,4.81,12.0,2014-01-20 08:53:20,"75210 Mark Mill Apt. 397 Donnamouth, MA 40404-7466","Evans, Logan and Wilson",1,Mid,57.72,8.959102083653699
40,Patrick Bell,41.0,11699.26,0,6.99,12.0,2010-03-31 14:45:01,"93345 Monique Tunnel Apt. 431 North Chase, NJ 30518",Clark-Kramer,1,Old,83.88,9.36736634276116
41,Jason Jones MD,55.0,16838.94,1,6.66,8.0,2007-05-10 15:48:38,"52454 Jessica Passage Apt. 097 Mitchellburgh, AS 30584-9004",Brown-Richardson,1,Old,53.28,9.731508724844602
42,Jermaine Johnson,36.0,10484.33,1,8.84,10.0,2008-04-29 09:07:51,"4102 Griffin Courts Middletonton, FM 48608","Dunlap, Hughes and Taylor",1,Old,88.4,9.257732416374358
43,George Archer,37.0,8736.06,1,5.51,12.0,2014-12-23 19:38:52,"5645 Henderson Streets Brandystad, CA 92343",Smith Inc,1,Mid,66.12,9.075329027620285
44,Richard Fields,50.0,10850.78,1,5.63,9.0,2010-06-18 07:10:58,"451 Flynn Streets Morenobury, NE 64722-7132",Brown-Bishop,1,Mid,50.67,9.292084400812545
45,Amanda Roberts,43.0,8601.01,0,5.65,12.0,2007-03-02 17:52:51,"PSC 9561, Box 4071 APO AA 92200-5783",Evans LLC,1,Mid,67.80000000000001,9.05975117586335
46,David Kennedy,45.0,11170.06,1,7.76,10.0,2011-01-26 19:05:24,"56990 Laurie Gardens Suite 145 West Tara, OH 24389",Williams-Hoffman,1,Old,77.6,9.321081784606465
47,Adam Waters,40.0,11185.62,0,6.26,12.0,2006-06-03 18:36:47,"6040 Juan Forge Parrishville, NJ 27948",Reed Ltd,1,Old,75.12,9.322473700271436
48,Patricia Elliott,36.0,9793.42,0,5.98,9.0,2007-11-27 12:24:48,"9072 Martinez Squares Suite 404 New Emilystad, NH 26441-4895",Ortiz Ltd,1,Mid,53.82000000000001,9.189568114740794
49,Summer Haley,43.0,12524.68,0,5.98,10.0,2010-05-27 04:46:05,"312 Wilson Oval Suite 872 East Michaeltown, MN 40127-6212","White, Vargas and Moore",1,Mid,59.800000000000004,9.435536215896505
50,Brittany Jackson,50.0,12682.9,0,4.58,10.0,2006-11-09 07:07:17,"082 Roth Island Daniellefurt, DE 69027-7185",Mcdonald-Cooper,1,Mid,45.8,9.448088751678878
51,Shawn Chavez,44.0,14036.28,1,7.25,10.0,2009-01-30 01:58:56,"42028 Hampton Flat Apt. 206 North Samuelburgh, ME 73072","Carter, Murphy and Valenzuela",1,Old,72.5,9.549471926617564
52,Laura Fleming,41.0,10179.92,1,5.97,10.0,2010-02-25 00:17:52,"7023 Courtney Lodge Suite 935 Coxtown, NE 89508","Knight, Hammond and Mccoy",1,Mid,59.699999999999996,9.228270659302037
53,Marcus Garza,46.0,12772.72,1,6.46,9.0,2010-03-07 18:56:05,"06806 Lyons Drive Apt. 864 Port Michaelview, MH 56506","Holland, Jones and Schmidt",1,Old,58.14,9.455145214357264
54,Heather Murphy,46.0,12122.19,0,7.53,11.0,2015-12-30 18:49:35,"1264 Williams Views Suite 114 Port Isaac, VI 31105-1539","Petersen, Howard and Bowen",1,Old,82.83,9.402875426312047
55,Jeffrey Hill,40.0,9922.3,1,5.07,11.0,2006-09-22 20:58:51,"97907 Jensen Forge Brianmouth, MH 69993-8000","Williams, Bautista and Carr",1,Mid,55.77,9.202640806249741
56,Amy Griffin,48.0,4771.65,0,3.77,12.0,2007-06-19 04:30:13,"062 Trevor Falls Suite 665 North Mathewchester, MH 93744",Larson-Hall,1,Mid,45.24,8.470656985174086
57,Michelle Hill,42.0,10827.96,1,4.2,10.0,2008-10-11 19:35:05,"45946 Day Springs Mendozastad, NJ 46404","Pierce, Peterson and Maldonado",1,Mid,42.0,9.28997930583635
58,David Rodriguez,38.0,8642.01,1,4.76,11.0,2014-08-13 17:14:07,"7318 Graham Ville Apt. 633 Gibsonview, MI 04337-6720",Walker-Baker,1,Mid,52.36,9.064506180757638
59,Daniel Bartlett,45.0,6749.49,0,5.88,14.0,2006-08-19 17:13:19,"353 Gregory Spur Mariaburgh, KY 66125",Owens Group,1,Mid,82.32,8.817370373824453
60,Cheyenne Rogers,36.0,6447.99,1,5.52,11.0,2009-07-05 22:19:35,"58379 Amber Knoll Blackburgh, MH 69646-4368",Evans LLC,1,Mid,60.72,8.771678808381171
61,Seth Lopez,44.0,11091.21,0,5.9,10.0,2007-10-07 15:33:56,Unit 2311 Box 4695 DPO AA 98374,Hodges LLC,1,Mid,59.0,9.31399833912046
62,Brittany Hopkins,55.0,5024.52,0,8.11,9.0,2010-10-02 10:22:37,"2529 King Knoll Apt. 210 Michelleshire, NH 14266",Dixon-Love,1,Old,72.99,8.522284210160388
63,Carla Patterson,58.0,12376.37,0,6.01,12.0,2007-08-12 08:05:11,"350 Gregory Isle South Tinaland, WI 44398","Pittman, Watts and Fitzgerald",1,Old,72.12,9.423625084251722
64,Michelle Holloway,49.0,12458.8,0,5.04,9.0,2013-01-21 13:44:09,"6431 Kimberly Harbors South Dylan, MS 05388-2846","Martinez, Clark and Jackson",1,Mid,45.36,9.430262740848253
65,Kenneth Bryant,47.0,7222.35,0,6.41,11.0,2015-06-27 10:57:19,"274 Randy Ports Apt. 228 Gomezside, KY 96667-1028",Davis and Sons,1,Old,70.51,8.885074113196966
66,Cody Williams,38.0,11758.69,0,6.97,11.0,2016-08-14 18:04:40,USNS Lewis FPO AE 38853,"Farley, Clark and Peterson",1,Old,76.67,9.372432860560956
67,Lori Ross,55.0,8772.0,1,6.43,10.0,2006-01-03 20:57:16,"65806 Dean Plaza Apt. 089 West Jacobfort, AR 83049","Butler, Harrison and Hall",1,Old,64.3,9.079434102128383
68,David Montes,45.0,7351.38,0,5.76,11.0,2016-06-10 23:11:34,"666 Julie Ports Apt. 094 South Johntown, MO 10168-2804",Watson-Hall,1,Mid,63.36,8.902779349315702
69,Robin Rowe,30.0,7960.64,1,2.72,10.0,2016-04-15 12:08:15,"87953 Fuller Turnpike Apt. 510 Russellstad, MH 32784-9434","Bradley, Mejia and Williams",1,New,27.200000000000003,8.982390287767887
70,Amber Spears,41.0,13365.66,1,8.36,9.0,2008-07-26 03:00:31,"455 Garcia Via Suite 177 Lake Jefferyside, MN 81187",Gray Inc,1,Old,75.24,9.500518825873309
71,Kathy Johnson,32.0,8617.98,1,6.2,10.0,2008-05-14 16:07:30,"570 Smith Mountains Hunterview, OK 46533",Jordan-Murphy,1,Old,62.0,9.061722027189898
72,Thomas Rose,52.0,11849.13,0,6.8,11.0,2012-08-18 09:16:47,"9928 Lawson Court Andersonborough, KS 54353-7605","Lynch, Padilla and Myers",1,Old,74.8,9.380094116967237
73,Sandra Williams,37.0,11145.95,1,5.87,11.0,2013-10-01 10:11:44,"0728 Melton Avenue Robertville, KY 71675-3667",Baker Ltd,1,Mid,64.57000000000001,9.318921196867766
74,Nathan Murphy,42.0,9577.42,0,5.86,11.0,2012-01-18 00:52:28,"34489 Andrew Wells North Charlesport, RI 48537",Deleon Ltd,1,Mid,64.46000000000001,9.167267930431859
75,Ryan Weaver,39.0,10110.4,1,5.78,13.0,2009-10-03 21:58:42,"8306 Nicole Lane Moranmouth, PR 36299","Keith, Richardson and Thomas",1,Mid,75.14,9.221418779183184
76,Jennifer King,43.0,8024.08,0,4.08,12.0,2016-02-20 07:00:09,"44850 Dennis Meadows Suite 044 Dariusland, IL 05918","Hunter, Reyes and Rivera",1,Mid,48.96,8.99032691679588
77,Theresa Berry,52.0,8563.24,0,5.29,11.0,2010-03-24 16:20:07,"1733 Theresa Port North Jason, WY 15864",Jones LLC,1,Mid,58.19,9.055350673604616
78,Robin Burke,40.0,9403.58,1,6.01,9.0,2014-07-31 01:07:38,"7225 James Corners Christopherville, OH 19625-4299",Patel PLC,1,Old,54.089999999999996,9.148952083640685
79,Todd Thompson,38.0,12520.53,1,6.3,11.0,2008-10-19 09:18:12,"2779 Dalton Ports New James, AS 59322-0419","Guzman, Johnson and Berry",1,Old,69.3,9.435204841660575
80,John Thomas,53.0,13655.59,1,2.05,10.0,2013-12-24 14:28:20,"342 Jensen Dam West Kylehaven, PW 89702-0398","Sanchez, Carter and Gross",1,New,20.5,9.521977467993246
81,Timothy Johnston,41.0,12680.46,0,5.92,11.0,2010-03-29 17:41:53,"44906 Walker Plaza Sanchezshire, AK 41013-8944","Cole, Shelton and Atkinson",1,Mid,65.12,9.447896363318726
82,Sarah Holloway,45.0,8429.65,1,7.1,10.0,2006-08-26 16:40:13,"099 Lopez Crescent Jamesport, OK 31273",Harrison-Ferrell,1,Old,71.0,9.039629153598746
83,Scott Chambers,44.0,11424.0,1,5.98,10.0,2011-11-16 06:51:37,"9525 Allen Camp Apt. 362 West Dawnmouth, GA 04347","Davis, Cole and Thompson",1,Mid,59.800000000000004,9.343559215762406
84,Kathryn Ponce,46.0,13725.55,0,5.09,9.0,2006-04-03 00:11:53,"43798 Jones Garden Apt. 027 Monicashire, ND 82344","Cochran, Molina and Higgins",1,Mid,45.81,9.52708719260606
85,Patrick Robinson,47.0,7396.1,0,4.11,11.0,2014-10-03 06:51:20,"753 Sara Fall Lake Erinmouth, OK 02340-4525",Tran-Rodriguez,1,Mid,45.21,8.908843310490674
86,Laurie Green,51.0,8100.43,1,4.92,13.0,2006-01-14 01:47:07,"74631 Kyle Mountain Apt. 268 Andrewmouth, MI 55255","Callahan, Hinton and Murray",1,Mid,63.96,8.999795868288489
87,Amber Hobbs,43.0,10400.88,0,5.84,10.0,2013-03-28 20:04:50,"8044 Bates Spring Jonesborough, LA 63728","Nelson, Ray and Johnson",1,Mid,58.4,9.249741838023445
88,Tina King,40.0,8625.96,1,6.27,13.0,2008-07-08 01:50:30,"80203 Brandon Hill Apt. 353 New Luisport, VA 65076",Franco-Jones,1,Old,81.50999999999999,9.062647462459825
89,David Hess,41.0,5192.38,1,4.86,11.0,2015-06-11 03:12:21,"PSC 1062, Box 1827 APO AA 46087-7414",Johnson-Walker,1,Mid,53.46,8.555140016595589
90,Jose Lee,45.0,12455.38,0,3.26,11.0,2015-02-24 14:54:33,"036 Hunter Heights Suite 701 New Rickey, HI 95539-9622",Nelson LLC,1,Mid,35.86,9.429988220434492
91,Brian Young,49.0,10522.21,0,7.25,14.0,2014-08-11 00:40:36,Unit 6711 Box 7964 DPO AA 27820,Munoz Ltd,1,Old,101.5,9.261338572827919
92,Erica Flores,38.0,9624.18,0,5.53,12.0,2008-12-22 06:09:17,"421 Kevin Shoal Grahamport, RI 11504",Carey Ltd,1,Mid,66.36,9.17213786027982
93,Brenda Hall,37.0,11628.1,1,6.83,10.0,2010-02-20 16:08:12,"1877 Tara Streets West Sarah, MN 39500",Rosales Inc,1,Old,68.3,9.361265856447746
94,Dakota Williams,41.0,13190.3,1,7.38,10.0,2012-12-09 14:15:03,"22194 Hernandez Roads Hubbardville, MH 97331-5191","Hughes, Evans and Richardson",1,Old,73.8,9.487312800369475
95,Tammy Reed,49.0,13173.8,1,6.36,12.0,2007-09-10 18:07:48,"3067 Lindsay Road Apt. 683 Port Jonathan, NY 84626-8850",Russo-Rivas,1,Old,76.32000000000001,9.486061193028688
96,Devin Cook,29.0,8688.17,1,5.7,9.0,2015-05-02 11:35:45,"237 Antonio Lock Lake Christianville, IN 42022",Fleming LLC,1,Mid,51.300000000000004,9.069832701615015
97,Joseph Mitchell,40.0,11434.61,1,8.51,10.0,2009-11-17 23:38:40,"3422 Zhang View Estradabury, SC 66970-2923",Lee LLC,1,Old,85.1,9.344487450027529
98,Brett Allen MD,45.0,12309.39,1,4.57,11.0,2008-07-02 15:42:36,"03559 Rodriguez Prairie Apt. 826 Rachelfurt, ND 85441",Brown-Rangel,1,Mid,50.27,9.418198900236357
99,Daniel Bates,30.0,10744.14,1,7.16,9.0,2008-09-13 11:53:42,"488 Lewis Village Crawfordborough, WY 43563",Hunt PLC,1,Old,64.44,9.28220883830769
100,Chelsea Ward,43.0,12104.25,0,5.86,7.0,2009-09-27 04:12:53,"5279 Grace Mountain Loriland, IL 83900","Hatfield, Johnson and George",1,Mid,41.02,9.40139452178178
101,Ryan Richardson,45.0,11599.27,1,4.78,11.0,2006-11-22 21:46:31,"31574 Sarah Pine Apt. 359 Harryside, NJ 02405-8870",Cross-Jones,1,Mid,52.580000000000005,9.358783652685647
102,Stephen Callahan,42.0,6635.19,0,6.68,11.0,2006-07-24 18:29:33,USS Booth FPO AP 73462,Shaw-Rivera,1,Old,73.47999999999999,8.800293282606303
103,Mrs. Melinda Davila,51.0,10978.16,1,6.95,11.0,2013-10-08 02:49:37,"5843 Byrd Corner Monicaport, SC 44357",Perry and Sons,1,Old,76.45,9.303754209404797
104,Carla Howell,44.0,13743.27,0,7.8,11.0,2011-11-06 00:48:58,"55353 Barker Burg East Willietown, HI 30805","Edwards, Webster and Gross",1,Old,85.8,9.52837728896705
105,Eric Kelley,43.0,10271.19,1,5.31,14.0,2011-07-19 10:28:53,"98472 Meghan Mall Port Lauren, LA 49472","Santos, Hoffman and Harper",1,Mid,74.33999999999999,9.237195522643413
106,Randy Hayes,43.0,6715.23,0,4.16,8.0,2007-02-17 15:33:59,"PSC 1001, Box 5072 APO AP 43490",Taylor-Vaughn,1,Mid,33.28,8.812282264186374
107,Jeffrey Glenn,50.0,10199.44,0,5.79,9.0,2012-09-10 17:29:23,"6431 Caldwell Spring Port Gregorymouth, VI 76545-9829",Medina-Dominguez,1,Mid,52.11,9.23018613559688
108,Megan Tucker,38.0,11386.56,0,8.82,9.0,2011-11-20 17:11:17,"63080 Christopher Fork Suite 353 Jacobshire, TN 98279-1399",Taylor-Guerrero,1,Old,79.38,9.340276810489568
109,Michael Acosta,49.0,12112.53,0,7.31,9.0,2012-03-03 18:57:24,"73511 James Skyway Apt. 750 Port Scott, FM 96780",Ward-Bennett,1,Old,65.78999999999999,9.402078288703366
110,Eileen Reyes,34.0,9228.84,1,5.29,12.0,2006-11-25 12:38:21,"0235 Taylor Lakes Suite 365 East Michaelfort, AL 61409-7098",Curtis PLC,1,Mid,63.480000000000004,9.13019699256875
111,Mr. Jerome Dawson,36.0,6330.43,1,5.43,7.0,2010-08-24 00:52:55,"675 Jones Viaduct Samanthastad, MT 88716-7510",Oconnell LLC,1,Mid,38.01,8.753281397997595
112,Katie Sutton,40.0,11611.51,1,5.64,14.0,2010-06-19 16:02:16,"564 Amanda Park Apt. 388 Watsonport, NJ 61471-7559",Patrick Inc,1,Mid,78.96,9.359838244262734
113,Dr. Kylie Mccann,37.0,8397.41,0,5.59,12.0,2008-07-06 21:35:55,"150 Steven Center Port Randallshire, SC 42333-2817",Shepherd LLC,1,Mid,67.08,9.035797681200318
114,Jose Kelly,49.0,9714.47,0,5.7,9.0,2014-04-11 04:05:34,"205 Lewis Ports Suite 146 New Lukehaven, NE 61616","Fisher, Torres and Ramsey",1,Mid,51.300000000000004,9.181474739437
115,Nicholas Levy,51.0,11602.11,1,5.3,10.0,2012-06-04 10:12:15,"668 Walker Trace Apt. 580 Samanthaside, FL 56884",Pruitt-Thompson,1,Mid,53.0,9.359028444609425
116,Jennifer Carrillo,35.0,12871.79,0,4.64,12.0,2006-03-25 01:04:53,"659 Robertson Lake Lake Peggy, CT 28993",Ingram-Swanson,1,Mid,55.67999999999999,9.46287106031287
117,April Freeman,41.0,9923.79,1,4.75,13.0,2011-08-28 03:41:36,"16914 Oconnell Forge Apt. 477 Atkinsonmouth, MD 32666","Larson, Ross and Ward",1,Mid,61.75,9.202790946641366
118,Hunter Rivera,26.0,8787.39,1,5.42,11.0,2014-12-18 19:58:36,"233 Mark Vista New Russellbury, FL 08810","Tate, Hall and Moreno",1,Mid,59.62,9.08118681121802
119,Travis Ellis,46.0,12200.31,0,6.62,10.0,2010-10-20 00:12:32,"730 Doris Drive Suite 569 Port Adam, KY 42352",Ramirez-Mendoza,1,Old,66.2,9.409298602006025
120,Tommy Frey,38.0,8825.87,1,8.97,10.0,2008-06-01 09:57:34,"200 Craig Spur Suite 465 Wadeton, NC 47363",Garcia-Owens,1,Old,89.7,9.085555757371282
121,Nicole Friedman,44.0,8615.52,0,7.39,9.0,2006-10-19 23:02:34,"77755 John River Kendrafurt, MP 02175-9994","Miranda, Summers and Moran",1,Old,66.50999999999999,9.061436569847006
122,James Newman,35.0,9766.95,1,4.59,13.0,2008-02-29 14:17:57,"1317 Dillon Gardens Michaelville, ME 91569-7889","Griffin, Tucker and Lee",1,Mid,59.67,9.186861897022322
123,Stephanie Gonzales,36.0,11550.29,0,6.46,13.0,2014-01-13 05:18:56,"437 Alex Glens Melindaburgh, ID 78010-8240",Young-Dunn,1,Old,83.98,9.354552398024953
124,Mary Aguilar,50.0,6244.75,0,4.64,11.0,2015-12-18 13:28:17,Unit 6345 Box 0137 DPO AP 41134-6292,Lee-Aguilar,1,Mid,51.04,8.739656511425583
125,Jordan Owens,45.0,9459.52,0,5.72,9.0,2015-07-30 02:34:43,"018 Kristy Mountain Lindseymouth, LA 51400",Reyes PLC,1,Mid,51.48,9.15488262882275
126,Devin Wilson,46.0,11222.48,0,4.92,9.0,2011-02-18 18:11:37,"97426 Carrie Stravenue East Cassandrafort, WV 23196",Cooke Ltd,1,Mid,44.28,9.325763291414694
127,Samantha Fisher,38.0,14693.45,1,7.01,10.0,2011-02-11 16:47:54,"961 Wright Plains Kimberlyborough, AL 59809","Morris, Owens and Sullivan",1,Old,70.1,9.59522515045609
128,Monique Medina,49.0,15005.43,1,5.27,12.0,2012-07-27 00:30:18,"22013 Matthew Square Johnsonland, LA 27505-9242",Martin-Harris,1,Mid,63.239999999999995,9.616234054899707
129,Nathan Gross,42.0,10276.33,1,6.54,11.0,2007-01-07 05:53:17,"1136 Beasley Mountains Apt. 622 Smithton, UT 09411-9465","Robinson, Brown and Stephens",1,Old,71.94,9.237695777647636
130,Douglas Joseph,44.0,8474.11,0,6.61,14.0,2012-01-10 08:10:23,Unit 9630 Box 8710 DPO AP 69319,Clark PLC,1,Old,92.54,9.044888911515452
131,Elizabeth Moore,47.0,8235.74,1,6.2,10.0,2007-10-23 05:18:02,"582 Kimberly Lodge Apt. 082 East Victoriastad, NH 73555","Young, Porter and Hill",1,Old,62.0,9.016359913552938
132,Adam Gomez,48.0,6495.01,1,5.57,12.0,2013-06-02 05:15:06,"2889 Coffey Parks Browningmouth, VT 14924-9744",Thompson Group,1,Mid,66.84,8.778943421249195
133,Timothy Harvey,45.0,8099.29,1,5.66,10.0,2008-10-06 14:07:44,"6596 Ronald Union West Courtney, ND 47185","Scott, Ward and Brown",1,Mid,56.6,8.999655142488773
134,Adam Strong,50.0,11775.75,1,4.83,10.0,2011-06-02 15:02:27,"33071 Melody Isle East Matthew, WV 08980-8853",Harvey-Mcdowell,1,Mid,48.3,9.373882527799305
135,Charles Whitney,39.0,8667.02,0,6.82,10.0,2009-10-23 10:27:41,"8006 Erin Pass Apt. 415 South Karen, LA 27331-0907",Christensen-Mccann,1,Old,68.2,9.06739566999092
136,Lisa Davis,55.0,9000.31,1,6.78,10.0,2008-05-23 01:04:13,"PSC 5306, Box 1682 APO AP 03229",Obrien PLC,1,Old,67.8,9.10512540128173
137,Jacob Escobar,50.0,14398.89,1,5.54,12.0,2007-11-13 17:10:55,"4182 Mercer Plains Apt. 624 New Lindsey, WA 84468",White-Dennis,1,Mid,66.48,9.574975846646026
138,Douglas Padilla,38.0,10863.05,1,5.59,11.0,2008-04-28 01:11:37,"063 Andrew Harbor New Kathleenbury, AR 48898",Martinez Ltd,1,Mid,61.489999999999995,9.293214452144293
139,Russell Bauer,38.0,7287.57,1,7.39,11.0,2007-04-22 06:22:27,"83221 Hendricks Highway Garciastad, OR 20046-4343",Chambers-Simmons,1,Old,81.28999999999999,8.894062646638902
